cmt_col,labels
Ra đường nhớ cằm theo não,1.0
Cô nghỉ livestream 3 ngày là biết cô nhìn thấy gì rồi luôn :)),0.0
Sory con me may,2.0
V: ai đó giải thích cho em cái gì ló ra đằng sau kia,0.0
Xin lỗi cái địt thằng cụ mài,2.0
Roi thang be con song k e toi qua vay,0.0
Mọi người thấy ông thua ngoo do không chịu đánh nhà còn tôi thấy 3 Q ra đất,1.0
Nhạc lần này của ổng m.n phải nghe nhiều mới hay 😅,0.0
thằng k b’ nhận tkg là tkg fan rách vậy thôi!,2.0
"Mấy thằng cho để,",2.0
"Bà nầy nói chuyện ko có văn hoá , ko biết xấu hổ",1.0
Bắt đc đập chết me chung no di,2.0
não chó thì câm đi,1.0
"May Cha  H O an Tro. Cap.  Ranh c. Di ngoi le.  Nhieu chuyen.  Do   Cai Thu , do tam than",2.0
Bắt như mắt mù! Ông xem lại xem những tình huống ông bắt đi! Ông là trọng tài phai công bằng! Ông cũng đi lên từ cầu thủ đấy! Bắt như thế ông nên nghỉ đi! Gây bức xúc cho dân tình,1.0
Cũng ủng hộ ông trouie từ đầu tới cuôia,0.0
ngu lol bị vả dél biet nhục.kkkkk cay thoi cay quá phải vào fb chửi. đúng trẻ rranh,1.0
Keu con linh cá lóc về vn đi c hiếu đập vô mặt nó,1.0
BỌN LINH CẢU ĐẦY ĐƯỜNG,2.0
Thối nát lắm r,1.0
5 nghin do cai dau buoi toan mom,1.0
bú win à,1.0
"Tội nghiệp em bán xôi,đm thứ trâu bò cũng không bền đâu sẽ có quả báo",2.0
Xấu vlol,1.0
Má đọc tn mà máu chó chứ tr,1.0
Anh Việt ăn bưởi k,0.0
Người Mê Viết rồi liên quan gì đến mà vô cmt ghét thì chặn đi ai mượn xem,0.0
"vãi lôn, cái kèo rank bk lỏ cũng up là shao anh",1.0
Đu càng sang cali đi thằng con roi phản động,2.0
"m đi kêu thằng virus ra mặt đối chất hộ tao cái, chứ đúng quá sao xóa clip rồi trốn luôn ko chịu phản hồi khi ngta liên hệ ,m đọc cái thông báo cty nó mà m ko hiểu hả ? Nhận thức m để rớt đũn quần hay gì",1.0
Tạm giam mà còn lên fb ns phét đc nể cái pháp luận thật,1.0
Bắc kỳ cũng là người vn mà nó chửi như có sách con này k bỏ qua cho nó được,1.0
"phú bà ơi anh yêu em , em lấy anh đi",0.0
Haaaaaaaaaaaaaaaaa.,0.0
Não chó,1.0
Dàn cảnh. Có ăn chia nên lộng hành...,0.0
May thang nay roi cung phai tra gia dat thoi,0.0
Như thằng trẩu :)) bảo sao cái đầu mãi đéo lớn,1.0
Phong Nguyen zị đó he,0.0
"Hiệp Đinh m muốn đi hiến máu giúp họ, nhưg khi hiến rồi mới biết bị nhiễm thì sao hả thằng bàn phím , đầu to mà óc cứ như củ cứt 🤗🤗🤗",1.0
"Xe mới bị xử phạt, nó méo thèm quan tâm. Đám dân đen như mình dám ý kiến",0.0
"Ae bình tĩnh, acc fake",0.0
Ok Haha :))) bố 1989 đấy conn zai ạ . Bọn không có nhân cách thì cứ phải chửi thôi,1.0
Fuck mẹ m,2.0
Feed tụt lz xàm cứt,1.0
Nó khóc là vì lũ xủ nó( đồng bon) vẫn còn ngồi trên kia phán xét sinh mang nó,1.0
Máy bọn này chặt tay nó lun àk,2.0
Bác Trần Dần năm nay bác cũng già đi nhiều rồi.Bác cố gắng giữ gìn sức khỏe để vượt qua mua dịch này❤️❤️❤️,0.0
Nguyễn Quang Minh óc ch.o,1.0
Xin lỗi Việt Nam ? Muộn rồi,0.0
thằng ad này não bị delay 3 năm à :)),1.0
ViruSs vừa lên bài chửi thẳng mặt Jack lun rồi nhé quả này căng phết rồi đấy Link bài đây https://fecabookk.com/posts/id=10065010324009568,0.0
"Éc, ko cần tiêm hockmon mà cũng nữ tính vậy luôn.",0.0
Bọn cặn bả xã hội,2.0
Công bằng chỗ nào:)?,0.0
So máu lz đitba thằng bị thận này,2.0
Sorry cái loll,1.0
"ít lên tiếng cl, chuyện gì nó chả lôi công ty ra nói, bản chất rẻ Rách",1.0
Chống tham nhũng ở ViêtNam như kiểu con Mèo ăn miếng mỡ thì bắt được còn Còn cọp ăn con hươu thì đeoa bắt đc,1.0
Mấy người bịt khẩu trang tốt nhất là đề phòng,0.0
Best cà khịa =)),0.0
Tui vẫn ủng họ cổ vũ hlv trường vs cả đội vn,0.0
qua nó chơi 2 game thua cả 2 . Duo vs th 1-8 game sau 1-7 . Nó jg âm 1 mạng cả 2 game =)) trình k có ảnh cay,1.0
"còn live đó , xem thử đi =))",0.0
đã phạt chúng tôi rồi bg con xin lỗi,0.0
Xã hội h nhiều thể loại thượng đẳng hay đánh hội đồng kẻ yếu,1.0
Đcmm đi chết đi:)),2.0
xàm lồn,1.0
 ảnh cay =))))),0.0
đm bọn trung quốc chó,2.0
Quốc Thắng bảo sao top mình lúc nào cũng yếu,0.0
tao cười ia ve may troussier a xl,1.0
Dân InDo thì m nge làm lol gì??? K thích thì câm họng lại ok chưa lên đây sủa làm cc gì.,1.0
chẳng phải thiên đường người ta di chuyển bằng cách cưỡi mây hay sao ? lẽ ra họ chỉ xây cầu bằng xốp thôi.... nhưng vì lương tâm của người kongsan nên họ cho vào thêm bê tông và ít cốt thép đấy ! bà con ở thiên đường cứ học cái tính càm ràm vớ vẫn của bọn giãy chết !,1.0
"miệng thối rẻ rách, câm đi thằng ngu",2.0
"Thật sự từ lúc chưa có drama tôi đã thấy th này nó cứ đơ đơ thế nào ý, trông nó đánh như mấy th vàng rách mà cũng lên live. Cách nói chuyện thì như cái th thiểu năng, đ ngửi nổi",2.0
cố lênn tâm sự nhà single mom haha,0.0
Xin cái địt bà nhà mày,2.0
Đúng là tàn ác hơn loại con trùng . K có gì tả nổi . Mong cơ quang ra luật trộm cấp xe bị chung thân,2.0
Láo,1.0
Cắt con cặc m ra rồi tụi t còn thể suy nghĩ,2.0
Xem ma tuc oi mau. Co 2 hop xoi no no long nao no an giut. No an 2 goi xoi do no trao mau,1.0
Jack nuôi cmay đồng nào mà cmay bảo phảu bồi thường cho idol của chúng m thế haha,1.0
Không phải tụi nó sợ mà tụi nó thù dai. Vì tụi nó là lũ sức sinh.,2.0
Cút đi,1.0
Đừng có mơ nữa đóng thêm tiền giữ xe nữa,0.0
Dlv sủa hộ ?,1.0
đcm sound effect đỉnh vc,0.0
Con này đang tụng kinh hay đag đọc ráp vậy trời,0.0
Diện Trần có con rồi mà như thằng trẩu :)),2.0
Yeu nhau ko bao giờ được dụ nha anh . Nhưng mà phải Liếm lôn nha a 🤣🤣🤣🤣🤣🤣,1.0
"3 thanh niên sức dài vai rộng, k làm mà đi ăn trộm xe của cô gái",1.0
Giống giọng mèo xi măng vậy,0.0
Dm lũ quan tham bán nước.,2.0
Ủa mày làm chi dị rồi mày nói xin lỗi ủa mày xin lỗi rồi tỉ số có gỡ lại đc ko,1.0
Đồng bọn phối hợp !,0.0
Khổ cho cô gái bán xôi,0.0
Sa thải HLV này ngay và luôn,1.0
Con nay dien nang qua,2.0
mấy cái thứ bắt chước trộm hình của người khác như mày muôn đời nát. Kinh tởm. Người ta đăng từ hôm qua thì mày ăn cắp hình rồi comment lại câu view hả mày? Tưởng vậy hay ho nhưng ko ai ngu như mày để mày qua mặt đâu.,2.0
"Phương Dung Nguyễn chị chơi vậy, ai đ* chị",1.0
"em thấy chị cũng còn tươi á, hay ra cho a tứn phối giống rồi chị tự nuôi con 1 mình đi chị",0.0
Bọn này bắt được nên bắn chết,1.0
BeKia dùng kungphu muray v mà mắt trong tài để đâu vậy,0.0
dàn cảnh rất nhuần nhuyễn.,0.0
Sory cái đm mày,2.0
Lê Đức Minh đến giờ vẫn thành công mà ?,0.0
Thơ Tỷ,0.0
Ns thật đừng buồn do ông ngu vãi lzz,1.0
Hết thời,1.0
"Không phải tự nhiên bỏ công ty rồi làm vẻ tội nghiệp được đàn anh và bên faptv cứu xong giờ hỏi xem họ có coi ra gì ko, bỏ vợ bỏ con, khinh thường đàn anh, làm màu trên sân khấu bao nhiêu show bị khán giả chê, dính bản quyền gần nhất là ido… Xem thêm",0.0
Ông biến khỏi Việt Nam chúng tôi đi đồ HLV đầu bò trả hiểu gì về bóng đá Việt Nam,1.0
thầy lồn,2.0
Nhét con kia vào quan tài giùm tao cái. Clm nó,2.0
thằng bạc rách bú của ai chụp z,2.0
Kai dit lon mẹ nhà mày trọng tài lôn,2.0
Anh chính thức thành kẻ thù không đội trời chung của đám dâm lợn viên. Hihi,1.0
"Chúng nó giỏi thế mà không lấy của nhà giàu,lại đi lừa nhà nghèo nhỉ",0.0
 why cái lồn mẹ mày,2.0
độ bad trip 😞,0.0
spam kinh quá Mạnh chưa j lôi bố mẹ ra rồi hả Ruồi Mạnh biết phát sáng,1.0
"Chó cắn áo rách,khổ thật",1.0
"m bênh con nhỏ cmt, con đó bênh rách thì khác đéo j m bênh rách nhỉ? ko bt đứa nào ko có não. Đã ngu thì nín",2.0
Viet nam mà !,0.0
Đánh ngu bỏ mẹ ra :))),1.0
Cường học ANND là hiểu rồi. dm đám côn đồ tụi mày là tay sai cho cái lũ lảnh đạo bán nước đây mà,2.0
Kda toàn âm mà úp lên khoe tự tin vl:)),0.0
@Sơn Hoàng học hành đi má~ về nhà r cày view nha ;),0.0
Xa La Công Tử share về các page,0.0
Xong,0.0
Nhìn anh rất giống gờ đờ ra gon,0.0
Cởi thì cởi mẹ ra không thì mặc mẹ vào 🙃,1.0
"giết người đền mạng ,bố tù chung thân , tk lớp 6 đi cải tạo đến năm 18 thì cx đi tù chung thân nốt",1.0
Trần Văn Tuấn .dòng họ thằng đó làm trong ngành...,1.0
Một  phút  bóc  đồng  bằng  cả  đời  bóc  cức  😂,1.0
Sorry con kẹc,1.0
Xl có tay sao ko bắt,0.0
Gà mà oai vcc,1.0
Ad ngu như 1 con chó....xh nước nào mà ko có cướp giật.....chẳng qua là kéo giảm chứ làm cc j hết tuyệt đối.....mày ăn cức nên não mày ko phát triển hả ad!!!,2.0
ĐẦU BUỒI!,1.0
Bitch's cunt,2.0
Mày cút đi thằng chó,2.0
"Đạo đức con người xuống cấp trầm trọng lắm rồi, thấy xã hội này buồn quá.",1.0
Yêu vs cả đương :)),0.0
 why củ loz nhà m à ?,2.0
Xã hội cong vòng,1.0
Chắc Tiệp nghĩ Tiệp là hạng Thượng đẳng :)),1.0
"Bắc năm, trung, tây 1 nhà",0.0
Lối đá xà lơ thì có chứ kiểm soát. Kiểm dc cái lồng mẹ nhà ông,1.0
Trư Bát Giới ngọc trinh dáng ngon mà cái mặt t thề nhìn tắt nứng,1.0
Đù mé,1.0
Tú said : cái lol j vậy abe,1.0
tôi mong chúa hãy đưa cả gia đình ông đi chết hết,2.0
Thế cơ á,0.0
"Thằng chó, nghĩ mẹ mày đi",2.0
câm cái mồm vào,1.0
Thăng đit lao nên lam quan chăng thê.cho va cho,2.0
"Phải gọi phòng csgt là độ phá hủy tài sản của dân ,dân đóng tiền bãi mà nó để xe dân ngoài mưa nắng như vậy.",1.0
Lam sao ma co the tha loi duoc cho nhung  nguoi an noi vo hoc thuc nhu the nay. Bo tay.,1.0
VỢ JACK5TR BẾN TRE,0.0
Ông là lỗi nhục nhã của gia đình ông,1.0
Chửi thằng nguyễn sin đi chị thằng này ác lắm. Hình như mũi chị Hiếu hơi lệch á.,1.0
"Giống mấy thằng fan NTN. Chê thằng NTN làm video thiếu ý thức xong nó nhảy vào bảo "" có bằng ngta không mà nói"" clm =))",1.0
Thành phố an toàn lắm mà,0.0
"Cô chuyển giới từ xưa mà nhìn cô không nghĩ là người chuyển giới luôn, xuất sắc <3",0.0
Bài học cho sau này ....thận trọng ko bao giờ thừa .,0.0
Khó chịu vl,1.0
Chơi ngu thì có gì mà phải cay ko có thực lực ko gì phải buồn cả,1.0
thailand mua nhiêu dị?,0.0
Bùn lắm lun,0.0
jack rẻ rách bỏ vợ bỏ von uisss jack ăn cứt đá bô,2.0
Đánh ngu bm ra,1.0
2 cái lỗ mũi to zậy mà vẫn thấy ngột ngạt là sao nhỉ🙄🙄,1.0
Xin l.ồ.n mẹ mày à,2.0
"đúng là lũ trẻ trâu Nam kỳ, chả ra thể thống gì",2.0
Bắt chưa 3 thằng nhen mấy c.a,0.0
Ông đi về pháp mẹ đi,1.0
"Ủa a, bắt kỉu zì thế... :))",0.0
Người bán chúng nó cũng ko tha,0.0
Tấm đầu tìm mãi mới thấy anh chả =)),0.0
Cái loại mặt lồn thì mãi mãi là kí sỉ lâu thôi tk db,2.0
cực kì thuyết phục abe,0.0
Con mẹ kia bị qq gì ghê v ? Dẹo thấy gớm,2.0
Tiền bợ dái của thằng đăng bài là 2 xị. Nó đi ỉa xin vào bóc cứt ăn nữa để được trường sinh bất tử. Địt mẹ m thằng đăng bài!,2.0
"Óc của thằng ad dc cấu tạo từ cức các loại động vật....bởi ngta chửi ngu như cức...,",2.0
"Nguyễn An Huy vâng a đẹp trai như lệ rơi ạ, đẹp như ma chết trôi, mắt lé môi trề. -10đ ạ ko ai dám đẹp như a. T có nói t đẹp hay gì mà cần m sủa v ? Chê t xấu coi chứ sau này con m lại giống t á chớ",1.0
xem bình luận phía dưới chửi đầy ra là hiểu. xem cả cái cách solo thua người khác bị hành là thấy nhục rồi :)))) toxic + la hét = óc chó kkkkk,1.0
Nát hết rồi,1.0
"Mồ tổ cha mày. Đăng mà cũng lược bỏ đi chi tiết: Cty hổ trợ 1thùng number one, bình đựng nước đá. Nhưng anh này...tham thêm 1chút là đòi 10 thùng number one. Đừg ngu mà tỏ nguy hiểm nha ad",2.0
"kẻ nào giỏi phá , ăn chơi , mất dạy , lưu manh , đều là bằng cấp lảnh đạo Việt Nam!",2.0
"Gọi làm gì ? Nó láo thật , nhưng rõ là chửi đúng , thằng kia đúng là ngu mà !",2.0
Cờ giáo hội....tượng trưng cho hòa bình vs công lý. Ko biết sao,0.0
Cho chừa tôi mê trai,1.0
Vu Quynh Huong vãi lol,1.0
ngu,1.0
"Chị nói đúng quá. Trời mưa còn tắc đường nữa. Đi ô tô thì còn lâu mới thoát, chứ đi xe máy thì tí là lách đc rồi =))",0.0
Dcmm . Khốn nạn . Chó cắn áo rách,2.0
Đấm trộng tài một cái cho đã cái tay,1.0
K thoát.camera đầy đường.nghiệp vụ túm đầu hết,0.0
"Hoàng Văn nếu là nhà tài trợ thưởng thì ko mất thuế,nhưng sợ ko biết có tới tay mấy e đc ko nè",0.0
Gay to vl :))),1.0
Mực óc c đk ae,2.0
Chừa cái tội nhây,0.0
ủa là con gái là con trai không được chửi hả. T chỉ tưởng không được đánh con gái thôi chứ,0.0
Cầu trung văn - mễ trì,0.0
Top 1 mn êyy ở nhà xem giải mn êyy,0.0
aatrox nó gàaa :)),1.0
Thầy ơi có cô kiếm thầy nè :)),0.0
Ủa làm sao thấy bị gì đâu,0.0
"Chúng mày là con hoang, còn bọn tao là con nhà nước, mày hiểu chứ",2.0
Biến con mẹ mày đi thằng lol. Fuck,2.0
Con nay tamthan nangkhung batron,2.0
"Đ*t con mẹ. Đang ăn cơm nghe đến đoạn bôi c** mũi,c** mèo Đức Phan ạ :)))",2.0
Nói thật.. pháp luật phải thật mạnh tay cho những kẻ này. Theo thái lan trộm một chiếc xe phải ở tù chung thân...,1.0
Hiền dữ chưa,0.0
"Bọn này bắt đc cứ cho chătj cmn hai tay đi , ko cần sử lội làm j cả",1.0
Sống mấy chục năm đi làm conttent bẩn để người ta ẩu lên đìa cả họ =]] mấy đồng bạc lẻ có đáng không?,1.0
trầm cảm vì làm fan của đóm có bóng đèn ở đít à mà thôi không trêu ban ! ;)))),1.0
xin lỗi rồi Việt Nam có thắng đc ko,0.0
Woh Wh chia buồn cùng gia đình súc vật nhạc giật giật của rác 5 củ bỏ con,2.0
Chửi cái l linh cá lon,2.0
Co kg chi,0.0
Tao chịu status này đó AD tụi dlv nghe nhột ko tụi bây kaka,1.0
Toan đựng bọn ngu phá hại lên làm quan nên dân nuôn đời vất vả nếu ko nhôt bơt cái bọn ngu ấy lai,2.0
Xin Vĩnh Biệt :))),0.0
"Chúng tao không cần mày xin lỗi,. Mày nên làm trọng tài cho hội bóng của người khuyết tật khiếm thị( mù ) đó",1.0
Địt cụ trọng tài nhé,2.0
Pham Yen Nhi,0.0
nó chơi luật rừng thì mình chơi luật rừng! mạng đổi mạng! đéo phải nói nhiều! Bức xúc làm cc gì,1.0
3 thằng chó,2.0
Bán cả mấy năm mới sắm dc cái xe .đm bọn trộm cắp,2.0
"cay lỏ dái chưa, jack ngu",2.0
Anh bom đâu nhở không cà khịa nữa à :)),0.0
"cũng là tự nói mòm là liên hệ thôi chứ chưa chắc đã liên hệ đâu mà tự hào, mà còn phải là liên hệ ntn nữa",0.0
Cút về nước đi,1.0
"cái loại m chỉ được cái mỏm thôi, có gan gây sự zới thằng b t được mòa lại đéo có gan đưa địa chỉ thật à? Nt thì lươn lẹo? Nhục mặt mấy đứa zân xh trong nam vcl",2.0
"bớt nổ đi , xạo l có gì hay, đừng phá nửa",1.0
Yên Chii dcm đã nói câu này biết xinh quá trời quá đất r,0.0
"Muộn rồi không cần xin lỗi ok,thứ như ông chúng tôi không cần câu xin lỗi",0.0
"mtp mượn tác phẩm GD, sky sì ke",1.0
Cho em lên fan cứng cái anh êy😘😘,0.0
Tính ra liên minh có mấy khứa này vui phết nhỉ,0.0
Xin cc,1.0
thôi cháu. sủa cái đel gì sủa dai thế .chú del rảnh nhé .chú mắc ngủ vs mẹ cháu ròii. cút dc rồi cháu ạ :))),2.0
khổ thân cmt ko ai like cho lên top,0.0
"ngta thường nói người Việt nói đường làm nẻo, và đây cũng là minh chứng cho câu nói ấy",0.0
Giống LỆ RƠI ở việt nam kkk,0.0
"t thích em quyền ghét mực vì mực nó tôi cao quá, mà coi xong clip đó tội mực ghét thang quyền bẩn tính vcl",2.0
đòi lại công bằng bằng cách bỏ con và chu cấp cho 5tr,1.0
xin cái buồi nhà mày ý bắt như cặc,2.0
liên quan gì? Quan trọng tang vật là tài sản của ngta,0.0
Thg này giả đấy mn,0.0
Con ngu cha cũng lú rồi cả lũ vô gông,2.0
Thằng già kia đứng cười chứ :(,1.0
Tài sản của dân như thế này đây,0.0
"6k/1000 Follow Facebook, ai mua ib mình nha cân gdtg, cảm ơn mọi người ạ",0.0
"ĐỘI HÌNH TUYỆT VỜI. 1 NGUYỄN PHILIP, 2 H T TÀI, 3 DUY MẠNH, 4 VIỆT ANH, 5 TIẾN DŨNG, 6 VĂN THANH, 7 HÙNG DŨNG, 8 HOÀNG ĐỨC, 9 QUANG HẢI, 10 CÔNG PHƯỢNG, 11 NHÂM MẠNH DŨNG.",0.0
Phê quá Ae,0.0
"Xin cái con cặc,cút mẹ mày đi",1.0
Ong noi nay khung khung ngao da ma,1.0
Tối nay tầng 7 của gaming house có người ở rồi :))),0.0
Nay live kênh mới hả a3,0.0
Chị nói hay thế,0.0
Trần Long hahahaha,0.0
Khẩu nghiệp quá. Con cháu nghe xấu hổ chết.,1.0
"Con chó nó phản ứng là hiểu rồi, nên đề phòng",0.0
Dlv dlv dlv 1 ổ kinh tởm thối tha hèn hạ dm nó khoá cmt k thì zô chửi cm nó r,2.0
Nghĩ là vừa đó lol Trọng tài,1.0
cày thuê rank bk cc j mà kda như lz z ba,1.0
Lỗi ccc,1.0
Đánh 3 acc up kc mà acc nào rank này cũng gặp =))))) kẹt rank gì ghê dữ vậy,0.0
Ngu như 1 con dog,1.0
ngu thì thua,1.0
ranh con vắt mũi chưa sạch,2.0
Trước khi làm gì cũng nên lắp não vào rồi làm gì thì làm chứ. Để não thành hoá thạch à,1.0
má =))) tao là 4 thg còn lại t chửi thối mẹ m đầu,1.0
còn bỏ con nữa thế thì chịu rồi,1.0
"Cai lol me tui may nhìn đi , tui mày nhin cho ki anh ba chỉ làm dc một lần nv thôi , dc chưa , cđm tui mày",2.0
Chị em mà,0.0
Rên rên nghe kinh vl :)),0.0
Trần Thị Ngọc Anh nếu ngược lại thì sao con mặt lòn.nếu nó biết bị bệnh rồi đi hiến thì sao.😊,1.0
"Đcmmm thằng svh này, mặt mày nhìn hãm loll quá mày cút ngay khỏi đất nước tao",2.0
xin lỗi cái gì mày bắt như cứt,1.0
Thầy em là phải hơn. Nhưng ngu hơn ă🤧,1.0
Trời ơi! Thương em thì lên tiếng để bảo em ấy và pháp luật xử lý nghiêm minh làm bài học cho toàn xã hội.,0.0
Tới công chiện ó chớ xin lỗi,0.0
O lại đi vn có tiện nhiều lam ngồi đở ăn cả đời ko ht dau,0.0
"Nguyễn An Huy mắt m lé à nhóc, mở mắt to ra tìm cmt đi con, thằng đần độn ngu si",2.0
Đây mí là fb thật nhé ae,0.0
Xin lỗi cái địt con mẹ mày,2.0
Phạm Minh Tuấn cày vew nhiều quá mà. Nghe 1 lần là bt như nào r,0.0
Tú đã sẵn sàng,0.0
nó ăn lương của nhà nước chưa no nó còn ăn cướp nữa mới đầy túi,1.0
Chửi xong rồi khóc như chó năn nỉ công đồng,1.0
Bùi Nga Quỳnh Anh chán chị :(,0.0
Lũ chó chết. Đkm loạn mẹ nó rồi. Xh như lồn,2.0
"Thứ này t thề bắt được, phải bẻ tay hoặc chân nó, k bao giờ t có lòng từ bi với loại này",2.0
câm cái mồm thối của mày vàoooo,1.0
đít xanh đít đỏ ăn ns lấc cấc,2.0
má mày,1.0
"quan cs ở xứ thiên đường thuộc bài kinh luôn ,mở mồm là "" ơn đảng ,ơn chính phủ..."" còn thằng quan tư bổn giãy hoài ko chết cũng thuộc bài luôn nhưng bài của nó là "" tôi xin chịu trách nhiệm ,tôi xin từ chức... """,1.0
Duy Trinh nói vậy củng chưa đúng hãy xem lại cách cô gái này đứng nói chuyện với hai thanh niên nhiều lần sẽ nhận ra có cái gì rất lạ mà cô gái bình thường tiếp chuyện sẽ không có,0.0
nó ngu còn m cỡ nào,1.0
xin con cac,1.0
đó là sự tinh tế kèm theo một chút vãi loz.,1.0
"vi russ chỉ là con vi rút thôi mà, nó ko cư xử như con người được",2.0
Hãy biến đi đến Indonesia mà không thằng nỗi thì làm sao mà đói tham dự world cup 2026 được chứ tôi sợ là có không ăn nổi thái Lan,1.0
Đề nghị công an xử thẳng tay. Đồ ác độc quá mình muốn sống mà không cho người ta sống xử chạm cả 3,2.0
Đớp cho lắm vào,1.0
Tươi dị hả thầy yêu,0.0
"Ông chỉ đáng sách giày cho ông Chung,Ở pâc",1.0
Tưởng mèo simmy không ghê vãi,0.0
"Thằng ml nào đang tạo acc spam vậy. Cho ăn, cho học làm chuyện tào lao.",2.0
thử lai trym đánh rank thách đấu đi a,0.0
" lam con trai giống đàn bà vậy ,đống cut nào cung thay dấu răng ,hoi sao xã hội này di xuong vi nhung thanh phan nhu vay",1.0
page gỉa à,0.0
cay lắm mà del làm gi dc t nhục lắm.kkkkk,1.0
Đừng để ném gạch vào mặt m,1.0
làm tí bóng bàn cho khuây khỏa đi,0.0
Bọn súc sinh,2.0
Hãy nghe những gì ad nói và hãy ỉa vào những gì ad bost,1.0
đóm nó sáng ở đít chứ k sáng ở đầu b ạ,1.0
Đời này còn nhiều cái ngu.,1.0
Trên bờ: tao chửi đấy mày làm đéo gì được tao :v,1.0
Bọn này nên cho vào tù,1.0
Chú nghe rồi. Tin tức Việt-Nam chú cập nhật từng giờ. Thư giỏi.Có theo dõi và ưu tư về tình hình đất nước là đáng khen.,0.0
Nó tới đây để giết ng chứ có phải kinh doanh mẹ j. Mấy thằng bù nhìn nhận tiền ngập bản họng cỏng rắn cắn gà nhà. Cả lũ cũng ko có kết cục j tốt dc,2.0
Bạn nữ bị ai bóp cổ à?,0.0
Chị có chim không .... sao nhìn gớm gớm....,1.0
Cô Trần Thị Nga bị nhà cầm tiền Việt Nam bắt tù đày chỉ có một tội duy nhất đó là....!,1.0
Một trận đấu mà nhiều người Đông Nam Á xem trên truyền hình mà lại thuê ông trọng tài nghiệp dư vào bắt trận đang xem nhất Đông Nam Á giữa Việt Nam gặp Thái Lan.. Ông trọng tài người Quatas..mà U23 Quatas..thua Việt Nam ở giai u23 Châu Á.. Giờ là lúc ông ấy lên tiếng,0.0
Một  phút  bóc  đồng  bằng  cả  đời  bóc  cức  😂,1.0
Đụ me ngu còn ghi xàm . Nó lấp đất đầy cái đồng tháp mười chứ làm thinh cái c**.,2.0
Trời ơi kg ai xấu bằng con quỉ cái miệng rộng. Mở miệng ra dơ dái mất dạy. Nhà khổ thấy mẹ chắc đeo ba vàng giả chứ gì.,2.0
Tài Nguyễn còn non và xanh lứm 🤣,0.0
"chả ra thể thống gì, người vô học nói chuyện đúng thiểu năng",2.0
"k phải tôi cao mà nói thẳng là thằng gia trưởng, con gái nào vớ phải thằng này muôn kiếp ở dưới bếp không lên nổi nhà trên. Nó chỉ đi làm công nhân thôi, không bao giờ làm sếp được, không bao giờ nhận sai.",1.0
Quá khứ của ma vương,0.0
Nói mấy người nghèo cho chết đói. V trc đó gửi đồ về cho minh hiếu làm từ thiện dell gì,1.0
L** mày cho chó nó còn không Liếm nữa có đâu mà mày đưa lộn cho người ta ăn con thú vật đầu thai,2.0
buồn thật,0.0
Xl qq,1.0
Thương cô gái,0.0
Cái đám chết chạy đấy thì nó ghét cs đến xương tuỷ còn gửi tiền về? Gửi đc bn khi làm nail culi lo cuộc sống chưa xong dư dả quá ha :)) còn Việt kiều thành đạt kiếm tiền còn gửi về tổ quốc thì chắc chắn ko có time mà lên fb share 3 cái tin rồi chửi ch,2.0
ngầu quá anh ơi,0.0
Người tốt nhiệt tình quá dễ bị lừa !,0.0
Nguyen Nhan ba cha con cái mặt ác hết sức ác,2.0
 mày có cặp mắt chỉ để cho có đủ bộ phận thôi ah,1.0
 đánh rank vàng còn bị bón hành cho ngập mồm.. Hecerim đi rừng 2/17 xong bảo đi trái lean.. nếu là trình DCT thật sự thì cho dù có đi đâu vẫn hành đc bọn rank thấp.. thằng này cày từ BK1 xuống Vàng thì có á :)))),1.0
"Đang họp nhưng kín, éo cho phóng viên vào. ĐM.",1.0
" m buồn cười nhỉ, idol chúng m làm sai xong bắt ngta phải đi tìm idol chúng m :)))",0.0
Fake ae,0.0
Địt cụ mày trọng tại như lồn ý,2.0
Bắt được mấy thằng này đem đập đầu khỏi giải đi đâu đúng là quá khốn nạn,2.0
Gần 30t rồi mà vẫn hãm địt mẹ mày đẻ ra đau lồn,2.0
Minh hiếu nói chuyện duyên dáng quá,0.0
Miền trung tao là nhất miền tây miền nam như cc,2.0
Lúc nó đi ngược chiều nó tông cho rồi kêu chó vàng giúp. Quyền lợi thì muốn mà còn pháp luật thì k muốn tuân thủ,2.0
Cố vấn cấp cao cho đàn c hó,1.0
Đánh ngu thì chết chứ cay j,1.0
xin loi cc,1.0
Đm,1.0
Suc vat là có thật,1.0
"má nó vào đọc vnexpress toàn lũ bợ đít cho chúng nó ko,chúc mừng đồ,lạy mấy cô hồn.",2.0
"t tưởng bọn m đòi bình đẳng giới, đòi nữ quyền thì bọn t cx có quyền nói lại m. Thế mà đụng vô lại kêu ""thằng đàn bà""..haizz thì ra đàn bà TRONG MẮT MÀY là nơi tụ họp những cái xấu à, tiêu chuẩn kép ít thôi",0.0
Tham nhũng kỳ diệu :3,1.0
Đhs nói ngu vl :))),1.0
Sory cái con mẹ nhà mày,2.0
Nay thang này ac qa..ngta bán xôi cug lay..,0.0
Tùng Xhaka Arsenal đi rồi a tùng ạ,0.0
Xin lỗi vì thích em vào thời điểm anh k có gì trong tay,0.0
Dân chống nhưng quan chức không chống,0.0
Nhà bán hàng vòng quanh toàn thờ ơ,0.0
"K muốn game, k muốn phim, k nhạc và cũng không thể ngủ một mớ hỗn độn cảm giác khó chịu",0.0
khổ thân anh tôi 🤣,0.0
